contract_id,customer_id,plant_id,consumer_unit_id,distributor_code,start_date,end_date,contracted_energy_kwh_month,discount_rate,status,source_updated_at,extracted_at,batch_id
CONTRACT-000001,CUST-000001,PLANT-001,UC-CPFL-500001,CPFL,2025-07-02,NULL,1153.09,0.1249,ACTIVE,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000002,CUST-000002,PLANT-002,UC-CPFL-500002,CPFL,2025-07-03,NULL,750.76,0.1401,ACTIVE,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000003,CUST-000003,PLANT-003,UC-CEMIG-500003,CEMIG,2025-07-04,NULL,347.58,0.105,ACTIVE,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000004,CUST-000004,PLANT-004,UC-CEMIG-500004,CEMIG,2025-07-05,NULL,1182.48,0.1275,ACTIVE,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000005,CUST-000005,PLANT-005,UC-COPEL-500005,COPEL,2025-07-06,NULL,658.33,0.1984,ACTIVE,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000006,CUST-000006,PLANT-006,UC-COPEL-500006,COPEL,2025-07-07,NULL,503.4,0.1859,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000007,CUST-000007,PLANT-007,UC-EQUATORIAL_GO-500007,EQUATORIAL_GO,2025-07-08,NULL,514.09,0.1497,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000008,CUST-000008,PLANT-008,UC-ENERGISA_MS-500008,ENERGISA_MS,2025-07-09,NULL,242.01,0.16,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000009,CUST-000009,PLANT-001,UC-CPFL-500009,CPFL,2025-07-10,NULL,542.03,0.1744,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000010,CUST-000010,PLANT-002,UC-CPFL-500010,CPFL,2025-07-11,NULL,585.29,0.1103,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000011,CUST-000011,PLANT-003,UC-CEMIG-500011,CEMIG,2025-07-12,NULL,640.56,0.108,ACTIVE,2026-07-12T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000012,CUST-000012,PLANT-004,UC-CEMIG-500012,CEMIG,2025-07-13,NULL,832.92,0.1234,ACTIVE,2026-07-13T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000013,CUST-000013,PLANT-005,UC-COPEL-500013,COPEL,2025-07-14,NULL,562.91,0.1023,ACTIVE,2026-07-14T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000014,CUST-000014,PLANT-006,UC-COPEL-500014,COPEL,2025-07-15,NULL,1161.66,0.1039,ACTIVE,2026-07-15T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000015,CUST-000015,PLANT-007,UC-EQUATORIAL_GO-500015,EQUATORIAL_GO,2025-07-16,NULL,689.3,0.107,ACTIVE,2026-07-16T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000016,CUST-000016,PLANT-008,UC-ENERGISA_MS-500016,ENERGISA_MS,2025-07-17,NULL,459.38,0.1387,ACTIVE,2026-07-17T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000017,CUST-000017,PLANT-001,UC-CPFL-500017,CPFL,2025-07-18,NULL,1131.77,0.1852,ACTIVE,2026-07-18T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000018,CUST-000018,PLANT-002,UC-CPFL-500018,CPFL,2025-07-19,NULL,494.26,0.1772,ACTIVE,2026-07-19T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000019,CUST-000019,PLANT-003,UC-CEMIG-500019,CEMIG,2025-07-20,NULL,569.03,0.1841,ACTIVE,2026-07-20T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000020,CUST-000020,PLANT-004,UC-CEMIG-500020,CEMIG,2025-07-21,NULL,751.49,0.1269,ACTIVE,2026-07-21T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000021,CUST-000021,PLANT-005,UC-COPEL-500021,COPEL,2025-07-22,NULL,512.91,0.1013,ACTIVE,2026-07-22T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000022,CUST-000022,PLANT-006,UC-COPEL-500022,COPEL,2025-07-23,NULL,864.76,0.1574,ACTIVE,2026-07-23T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000023,CUST-000023,PLANT-007,UC-EQUATORIAL_GO-500023,EQUATORIAL_GO,2025-07-24,NULL,409.09,0.1305,ACTIVE,2026-07-24T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000024,CUST-000024,PLANT-008,UC-ENERGISA_MS-500024,ENERGISA_MS,2025-07-25,NULL,253.54,0.1889,ACTIVE,2026-07-25T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000025,CUST-000025,PLANT-001,UC-CPFL-500025,CPFL,2025-07-26,NULL,1193.46,0.1243,ACTIVE,2026-07-26T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000026,CUST-000026,PLANT-002,UC-CPFL-500026,CPFL,2025-07-27,NULL,587.75,0.143,ACTIVE,2026-07-27T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000027,CUST-000027,PLANT-003,UC-CEMIG-500027,CEMIG,2025-07-28,NULL,777.33,0.1607,ACTIVE,2026-07-28T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000028,CUST-000028,PLANT-004,UC-CEMIG-500028,CEMIG,2025-07-29,NULL,696.23,0.1578,ACTIVE,2026-07-01T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000029,CUST-000029,PLANT-005,UC-COPEL-500029,COPEL,2025-07-30,NULL,772.58,0.1206,SUSPENDED,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000030,CUST-000030,PLANT-006,UC-COPEL-500030,COPEL,2025-07-31,NULL,945.14,0.1431,ACTIVE,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000031,CUST-000031,PLANT-007,UC-EQUATORIAL_GO-500031,EQUATORIAL_GO,2025-08-01,NULL,702.1,0.1677,ACTIVE,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000032,CUST-000032,PLANT-008,UC-ENERGISA_MS-500032,ENERGISA_MS,2025-08-02,NULL,820.64,0.148,ACTIVE,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000033,CUST-000033,PLANT-001,UC-CPFL-500033,CPFL,2025-08-03,NULL,1161.72,0.175,ACTIVE,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000034,CUST-000034,PLANT-002,UC-CPFL-500034,CPFL,2025-08-04,NULL,878.02,0.122,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000035,CUST-000035,PLANT-003,UC-CEMIG-500035,CEMIG,2025-08-05,NULL,462.27,0.1462,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000036,CUST-000036,PLANT-004,UC-CEMIG-500036,CEMIG,2025-08-06,NULL,1118.33,0.1949,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000037,CUST-000037,PLANT-005,UC-COPEL-500037,COPEL,2025-08-07,NULL,787.74,0.198,ACTIVE,2026-07-10T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000038,CUST-000038,PLANT-006,UC-COPEL-500038,COPEL,2025-08-08,NULL,610.89,0.1422,ACTIVE,2026-07-11T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000039,CUST-000039,PLANT-007,UC-EQUATORIAL_GO-500039,EQUATORIAL_GO,2025-08-09,NULL,282.4,0.1285,ACTIVE,2026-07-12T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000040,CUST-000040,PLANT-008,UC-ENERGISA_MS-500040,ENERGISA_MS,2025-08-10,NULL,512.57,0.1933,ACTIVE,2026-07-13T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000041,CUST-000041,PLANT-001,UC-CPFL-500041,CPFL,2025-08-11,NULL,818.5,0.162,ACTIVE,2026-07-14T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000042,CUST-000042,PLANT-002,UC-CPFL-500042,CPFL,2025-08-12,NULL,704.6,0.1801,ACTIVE,2026-07-15T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000043,CUST-000043,PLANT-003,UC-CEMIG-500043,CEMIG,2025-08-13,NULL,859.81,0.188,ACTIVE,2026-07-16T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000044,CUST-000044,PLANT-004,UC-CEMIG-500044,CEMIG,2025-08-14,NULL,596.58,0.1677,ACTIVE,2026-07-17T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000045,CUST-000045,PLANT-005,UC-COPEL-500045,COPEL,2025-08-15,NULL,1115.7,0.1606,ACTIVE,2026-07-18T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000046,CUST-000046,PLANT-006,UC-COPEL-500046,COPEL,2025-08-16,NULL,994.28,0.1863,ACTIVE,2026-07-19T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000047,CUST-000047,PLANT-007,UC-EQUATORIAL_GO-500047,EQUATORIAL_GO,2025-08-17,NULL,1051.04,0.1342,ACTIVE,2026-07-20T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000048,CUST-000048,PLANT-008,UC-ENERGISA_MS-500048,ENERGISA_MS,2025-08-18,NULL,650.06,0.1458,ACTIVE,2026-07-21T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000049,CUST-000049,PLANT-001,UC-CPFL-500049,CPFL,2025-08-19,NULL,435.98,0.1134,ACTIVE,2026-07-22T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000050,CUST-000050,PLANT-002,UC-CPFL-500050,CPFL,2025-08-20,NULL,755.58,0.1908,ACTIVE,2026-07-23T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000051,CUST-000051,PLANT-003,UC-CEMIG-500051,CEMIG,2025-08-21,NULL,1029.26,0.1041,ACTIVE,2026-07-24T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000052,CUST-000052,PLANT-004,UC-CEMIG-500052,CEMIG,2025-08-22,NULL,556.54,0.1033,ACTIVE,2026-07-25T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000053,CUST-000053,PLANT-005,UC-COPEL-500053,COPEL,2025-08-23,NULL,1099.37,0.1716,ACTIVE,2026-07-26T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000054,CUST-000054,PLANT-006,UC-COPEL-500054,COPEL,2025-08-24,NULL,360.19,0.1341,ACTIVE,2026-07-27T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000055,CUST-000055,PLANT-007,UC-EQUATORIAL_GO-500055,EQUATORIAL_GO,2025-08-25,NULL,277.65,0.1944,ACTIVE,2026-07-28T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000056,CUST-000056,PLANT-008,UC-ENERGISA_MS-500056,ENERGISA_MS,2025-08-26,NULL,802.89,0.1825,ACTIVE,2026-07-01T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000057,CUST-000057,PLANT-001,UC-CPFL-500057,CPFL,2025-08-27,NULL,264.93,0.188,ACTIVE,2026-07-02T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000058,CUST-000058,PLANT-002,UC-CPFL-500058,CPFL,2025-08-28,NULL,860.74,0.1598,SUSPENDED,2026-07-03T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000059,CUST-000059,PLANT-003,UC-CEMIG-500059,CEMIG,2025-08-29,NULL,1199.8,0.1412,ACTIVE,2026-07-04T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000060,CUST-000060,PLANT-004,UC-CEMIG-500060,CEMIG,2025-08-30,NULL,1077.36,0.1252,ACTIVE,2026-07-05T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000061,CUST-000061,PLANT-005,UC-COPEL-500061,COPEL,2025-08-31,NULL,1095.18,0.1189,ACTIVE,2026-07-06T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000062,CUST-000062,PLANT-006,UC-COPEL-500062,COPEL,2025-09-01,NULL,825.11,0.1989,ACTIVE,2026-07-07T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000063,CUST-000063,PLANT-007,UC-EQUATORIAL_GO-500063,EQUATORIAL_GO,2025-09-02,NULL,565.22,0.1354,ACTIVE,2026-07-08T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CONTRACT-000064,CUST-000064,PLANT-008,UC-ENERGISA_MS-500064,ENERGISA_MS,2025-09-03,NULL,488,0.1476,ACTIVE,2026-07-09T15:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
