generation_id,plant_id,generation_date,generated_energy_kwh,expected_energy_kwh,availability_rate,measurement_status,source_updated_at,extracted_at,batch_id
GEN-PLANT-001-2026-03-01,PLANT-001,2026-03-01,6001.81,6380,0.9284,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-01,PLANT-002,2026-03-01,8931,9240,0.9677,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-01,PLANT-003,2026-03-01,3814.76,4312,0.9581,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-01,PLANT-004,2026-03-01,9245.93,10850,0.9622,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-01,PLANT-005,2026-03-01,18160.88,19840,0.9286,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-01,PLANT-006,2026-03-01,4932.65,5544,0.921,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-01,PLANT-007,2026-03-01,6866.85,8272,0.9386,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-01,PLANT-008,2026-03-01,1900.78,2200,0.9204,FINAL,2026-03-02T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-02,PLANT-001,2026-03-02,5815.16,6380,0.9485,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-02,PLANT-002,2026-03-02,8481.85,9240,0.939,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-02,PLANT-003,2026-03-02,3661.8,4312,0.9397,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-02,PLANT-004,2026-03-02,10628.23,10850,0.931,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-02,PLANT-005,2026-03-02,17001.25,19840,0.942,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-02,PLANT-006,2026-03-02,5749.35,5544,0.9834,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-02,PLANT-007,2026-03-02,7260.87,8272,0.9308,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-02,PLANT-008,2026-03-02,2022.62,2200,0.9101,FINAL,2026-03-03T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-03,PLANT-001,2026-03-03,5876.07,6380,0.9256,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-03,PLANT-002,2026-03-03,8460.93,9240,0.957,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-03,PLANT-003,2026-03-03,3834.01,4312,0.9339,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-03,PLANT-004,2026-03-03,9150.22,10850,0.9324,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-03,PLANT-005,2026-03-03,18287.64,19840,0.9841,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-03,PLANT-006,2026-03-03,5467.54,5544,0.9712,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-03,PLANT-007,2026-03-03,8092.76,8272,0.9466,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-03,PLANT-008,2026-03-03,2017.51,2200,0.9262,FINAL,2026-03-04T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-04,PLANT-001,2026-03-04,6085.65,6380,0.9872,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-04,PLANT-002,2026-03-04,7846.03,9240,0.9416,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-04,PLANT-003,2026-03-04,3811.9,4312,0.9553,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-04,PLANT-004,2026-03-04,9635.44,10850,0.9549,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-005-2026-03-04,PLANT-005,2026-03-04,18508.87,19840,0.9904,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-006-2026-03-04,PLANT-006,2026-03-04,4634.69,5544,0.9134,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-007-2026-03-04,PLANT-007,2026-03-04,7413.97,8272,0.9935,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-008-2026-03-04,PLANT-008,2026-03-04,1863.48,2200,0.9422,FINAL,2026-03-05T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-001-2026-03-05,PLANT-001,2026-03-05,6020.64,6380,0.9456,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-002-2026-03-05,PLANT-002,2026-03-05,8447.21,9240,0.9545,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-003-2026-03-05,PLANT-003,2026-03-05,3821.15,4312,0.9937,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
GEN-PLANT-004-2026-03-05,PLANT-004,2026-03-05,9087.94,10850,0.9245,FINAL,2026-03-06T06:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
