invoice_id,contract_id,reference_month,issue_date,due_date,energy_consumed_kwh,energy_compensated_kwh,gross_amount_brl,discount_amount_brl,net_amount_brl,status,paid_at,source_updated_at,extracted_at,batch_id
INV-000001,CONTRACT-000001,2026-03-01,2026-04-02,2026-04-12,1335.79,891.39,1310.64,163.7,1146.94,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000002,CONTRACT-000002,2026-03-01,2026-04-02,2026-04-12,681.81,632.22,695.9,97.5,598.4,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000003,CONTRACT-000003,2026-03-01,2026-04-02,2026-04-12,393.09,275.91,424.5,44.57,379.93,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000004,CONTRACT-000004,2026-03-01,2026-04-02,2026-04-12,1159.15,920.74,1144.6,145.94,998.66,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000005,CONTRACT-000005,2026-03-01,2026-04-02,2026-04-12,562.95,526.4,584.17,115.9,468.27,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000006,CONTRACT-000006,2026-03-01,2026-04-02,2026-04-12,420.55,411.72,450.32,83.71,366.61,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000007,CONTRACT-000007,2026-03-01,2026-04-02,2026-04-12,487.1,402.67,512.87,76.78,436.09,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000008,CONTRACT-000008,2026-03-01,2026-04-02,2026-04-12,217.6,202.43,259.54,41.53,218.01,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000009,CONTRACT-000009,2026-03-01,2026-04-02,2026-04-12,507.89,439.46,532.42,92.85,439.57,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000010,CONTRACT-000010,2026-03-01,2026-04-02,2026-04-12,540.01,479.08,562.61,62.06,500.55,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000011,CONTRACT-000011,2026-03-01,2026-04-02,2026-04-12,535.32,535.32,558.2,60.29,497.91,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000012,CONTRACT-000012,2026-03-01,2026-04-02,2026-04-12,687.42,673.59,701.17,86.52,614.65,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000013,CONTRACT-000013,2026-03-01,2026-04-02,2026-04-12,554.66,489.36,576.38,58.96,517.42,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000014,CONTRACT-000014,2026-03-01,2026-04-02,2026-04-12,1015.63,949.68,1009.69,104.91,904.78,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000015,CONTRACT-000015,2026-03-01,2026-04-02,2026-04-12,654.17,618.78,669.92,71.68,598.24,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000016,CONTRACT-000016,2026-03-01,2026-04-02,2026-04-12,473.06,401.86,499.68,69.31,430.37,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000017,CONTRACT-000017,2026-03-01,2026-04-02,2026-04-12,1241.1,816.17,1221.63,226.25,995.38,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000018,CONTRACT-000018,2026-03-01,2026-04-02,2026-04-12,560.72,411.76,582.08,103.14,478.94,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000019,CONTRACT-000019,2026-03-01,2026-04-02,2026-04-12,469.7,451.62,496.52,91.41,405.11,PAID,2026-04-09T13:00:00Z,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
INV-000020,CONTRACT-000020,2026-03-01,2026-04-02,2026-04-12,865.77,635.71,868.82,110.25,758.57,OPEN,NULL,2026-04-05T10:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
